YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Race/Ethnicity,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2012,2012,AZ,Arizona,45.8,American Indian/Alaska Native,"(34.865970280000454, -111.76381127699972)",American Indian/Alaska Native,RACE,RACENAA
2012,2012,AZ,Arizona,31.6,2 or more races,"(34.865970280000454, -111.76381127699972)",2 or more races,RACE,RACE2PLUS
2012,2012,AZ,Arizona,27.2,Other,"(34.865970280000454, -111.76381127699972)",Other,RACE,RACEOTH
2013,2013,AZ,Arizona,21.7,Non-Hispanic White,"(34.865970280000454, -111.76381127699972)",Non-Hispanic White,RACE,RACEWHT
2013,2013,AZ,Arizona,34.5,Non-Hispanic Black,"(34.865970280000454, -111.76381127699972)",Non-Hispanic Black,RACE,RACEBLK
2013,2013,AZ,Arizona,36.7,Hispanic,"(34.865970280000454, -111.76381127699972)",Hispanic,RACE,RACEHIS
2013,2013,AZ,Arizona,,Asian,"(34.865970280000454, -111.76381127699972)",Asian,RACE,RACEASN
2013,2013,AZ,Arizona,,Hawaiian/Pacific Islander,"(34.865970280000454, -111.76381127699972)",Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,AZ,Arizona,53,American Indian/Alaska Native,"(34.865970280000454, -111.76381127699972)",American Indian/Alaska Native,RACE,RACENAA
2013,2013,AZ,Arizona,14.8,2 or more races,"(34.865970280000454, -111.76381127699972)",2 or more races,RACE,RACE2PLUS
2013,2013,AZ,Arizona,23.5,Other,"(34.865970280000454, -111.76381127699972)",Other,RACE,RACEOTH
2014,2014,AZ,Arizona,6.6,Asian,"(34.865970280000454, -111.76381127699972)",Asian,RACE,RACEASN
2014,2014,AZ,Arizona,26.4,Non-Hispanic White,"(34.865970280000454, -111.76381127699972)",Non-Hispanic White,RACE,RACEWHT
2014,2014,AZ,Arizona,36.7,Non-Hispanic Black,"(34.865970280000454, -111.76381127699972)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,AZ,Arizona,34,Hispanic,"(34.865970280000454, -111.76381127699972)",Hispanic,RACE,RACEHIS
2014,2014,AZ,Arizona,,Hawaiian/Pacific Islander,"(34.865970280000454, -111.76381127699972)",Hawaiian/Pacific Islander,RACE,RACEHPI
2014,2014,AZ,Arizona,44.6,American Indian/Alaska Native,"(34.865970280000454, -111.76381127699972)",American Indian/Alaska Native,RACE,RACENAA
2014,2014,AZ,Arizona,29.5,2 or more races,"(34.865970280000454, -111.76381127699972)",2 or more races,RACE,RACE2PLUS
2014,2014,AZ,Arizona,26.1,Other,"(34.865970280000454, -111.76381127699972)",Other,RACE,RACEOTH
2015,2015,AZ,Arizona,,Hawaiian/Pacific Islander,"(34.865970280000454, -111.76381127699972)",Hawaiian/Pacific Islander,RACE,RACEHPI
2015,2015,AZ,Arizona,8.5,Asian,"(34.865970280000454, -111.76381127699972)",Asian,RACE,RACEASN
2015,2015,AZ,Arizona,23.8,Other,"(34.865970280000454, -111.76381127699972)",Other,RACE,RACEOTH
2015,2015,AZ,Arizona,25.4,Non-Hispanic White,"(34.865970280000454, -111.76381127699972)",Non-Hispanic White,RACE,RACEWHT
2015,2015,AZ,Arizona,27.6,2 or more races,"(34.865970280000454, -111.76381127699972)",2 or more races,RACE,RACE2PLUS
2015,2015,AZ,Arizona,31.5,Non-Hispanic Black,"(34.865970280000454, -111.76381127699972)",Non-Hispanic Black,RACE,RACEBLK
2015,2015,AZ,Arizona,35.9,Hispanic,"(34.865970280000454, -111.76381127699972)",Hispanic,RACE,RACEHIS
2015,2015,AZ,Arizona,42.8,American Indian/Alaska Native,"(34.865970280000454, -111.76381127699972)",American Indian/Alaska Native,RACE,RACENAA
2011,2011,AR,Arkansas,31,Non-Hispanic White,"(34.74865012400045, -92.27449074299966)",Non-Hispanic White,RACE,RACEWHT
2011,2011,AR,Arkansas,38.1,Non-Hispanic Black,"(34.74865012400045, -92.27449074299966)",Non-Hispanic Black,RACE,RACEBLK
2011,2011,AR,Arkansas,18.4,Hispanic,"(34.74865012400045, -92.27449074299966)",Hispanic,RACE,RACEHIS
2011,2011,AR,Arkansas,,Asian,"(34.74865012400045, -92.27449074299966)",Asian,RACE,RACEASN
2011,2011,AR,Arkansas,,Hawaiian/Pacific Islander,"(34.74865012400045, -92.27449074299966)",Hawaiian/Pacific Islander,RACE,RACEHPI
2011,2011,AR,Arkansas,19.3,American Indian/Alaska Native,"(34.74865012400045, -92.27449074299966)",American Indian/Alaska Native,RACE,RACENAA
2011,2011,AR,Arkansas,26.4,2 or more races,"(34.74865012400045, -92.27449074299966)",2 or more races,RACE,RACE2PLUS
2011,2011,AR,Arkansas,,Other,"(34.74865012400045, -92.27449074299966)",Other,RACE,RACEOTH
2012,2012,AR,Arkansas,32.6,Non-Hispanic White,"(34.74865012400045, -92.27449074299966)",Non-Hispanic White,RACE,RACEWHT
2012,2012,AR,Arkansas,41.9,Non-Hispanic Black,"(34.74865012400045, -92.27449074299966)",Non-Hispanic Black,RACE,RACEBLK
2012,2012,AR,Arkansas,41,Hispanic,"(34.74865012400045, -92.27449074299966)",Hispanic,RACE,RACEHIS
2012,2012,AR,Arkansas,,Asian,"(34.74865012400045, -92.27449074299966)",Asian,RACE,RACEASN
2012,2012,AR,Arkansas,,Hawaiian/Pacific Islander,"(34.74865012400045, -92.27449074299966)",Hawaiian/Pacific Islander,RACE,RACEHPI
2012,2012,AR,Arkansas,46,American Indian/Alaska Native,"(34.74865012400045, -92.27449074299966)",American Indian/Alaska Native,RACE,RACENAA
2012,2012,AR,Arkansas,33,2 or more races,"(34.74865012400045, -92.27449074299966)",2 or more races,RACE,RACE2PLUS
2012,2012,AR,Arkansas,,Other,"(34.74865012400045, -92.27449074299966)",Other,RACE,RACEOTH
2013,2013,AR,Arkansas,32.3,Non-Hispanic White,"(34.74865012400045, -92.27449074299966)",Non-Hispanic White,RACE,RACEWHT
2013,2013,AR,Arkansas,46.2,Non-Hispanic Black,"(34.74865012400045, -92.27449074299966)",Non-Hispanic Black,RACE,RACEBLK
2013,2013,AR,Arkansas,42.5,Hispanic,"(34.74865012400045, -92.27449074299966)",Hispanic,RACE,RACEHIS
2013,2013,AR,Arkansas,,Asian,"(34.74865012400045, -92.27449074299966)",Asian,RACE,RACEASN
2013,2013,AR,Arkansas,,Hawaiian/Pacific Islander,"(34.74865012400045, -92.27449074299966)",Hawaiian/Pacific Islander,RACE,RACEHPI
2013,2013,AR,Arkansas,20.3,American Indian/Alaska Native,"(34.74865012400045, -92.27449074299966)",American Indian/Alaska Native,RACE,RACENAA
2013,2013,AR,Arkansas,33.9,2 or more races,"(34.74865012400045, -92.27449074299966)",2 or more races,RACE,RACE2PLUS
2013,2013,AR,Arkansas,,Other,"(34.74865012400045, -92.27449074299966)",Other,RACE,RACEOTH
2014,2014,AR,Arkansas,34,Non-Hispanic White,"(34.74865012400045, -92.27449074299966)",Non-Hispanic White,RACE,RACEWHT
2014,2014,AR,Arkansas,45.1,Non-Hispanic Black,"(34.74865012400045, -92.27449074299966)",Non-Hispanic Black,RACE,RACEBLK
2014,2014,AR,Arkansas,35.2,Hispanic,"(34.74865012400045, -92.27449074299966)",Hispanic,RACE,RACEHIS
2014,2014,AR,Arkansas,,Asian,"(34.74865012400045, -92.27449074299966)",Asian,RACE,RACEASN
2014,2014,AR,Arkansas,,Hawaiian/Pacific Islander,"(34.74865012400045, -92.27449074299966)",Hawaiian/Pacific Islander,RACE,RACEHPI
2014,2014,AR,Arkansas,45.7,American Indian/Alaska Native,"(34.74865012400045, -92.27449074299966)",American Indian/Alaska Native,RACE,RACENAA
2014,2014,AR,Arkansas,53.6,2 or more races,"(34.74865012400045, -92.27449074299966)",2 or more races,RACE,RACE2PLUS
2014,2014,AR,Arkansas,,Other,"(34.74865012400045, -92.27449074299966)",Other,RACE,RACEOTH
2015,2015,AR,Arkansas,32.4,Hispanic,"(34.74865012400045, -92.27449074299966)",Hispanic,RACE,RACEHIS
2015,2015,AR,Arkansas,,Asian,"(34.74865012400045, -92.27449074299966)",Asian,RACE,RACEASN
