YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,AgeYear,Education,Gender,Income,RaceEthnicity,Stratification1,StratificationCategoryId1,StratificationID1,Simple
2011,2011,NV,Nevada,27.4,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,NH,New Hampshire,29.1,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,NJ,New Jersey,25.1,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,NM,New Mexico,27,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,NY,New York,27.1,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,NC,North Carolina,31.4,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,ND,North Dakota,29.2,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,OH,Ohio,30.5,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,OK,Oklahoma,31.3,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,OR,Oregon,31.4,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,PA,Pennsylvania,30,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,RI,Rhode Island,27.9,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,SC,South Carolina,32.9,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,SD,South Dakota,27.2,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,TN,Tennessee,28,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,TX,Texas,32.2,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,UT,Utah,25.4,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,VT,Vermont,25.1,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,VA,Virginia,29.2,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,WA,Washington,30.2,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,WV,West Virginia,32.8,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,WI,Wisconsin,26.9,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,WY,Wyoming,25.4,,,Some college or technical school,,,,Some college or technical school,EDU,EDUCOTEC,COTEC
2011,2011,AL,Alabama,33.6,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,AK,Alaska,28.8,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,AZ,Arizona,36.2,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,AR,Arkansas,31.1,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,CA,California,32.9,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,CO,Colorado,25.7,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,CT,Connecticut,31.2,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,DE,Delaware,35.2,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,DC,DC,39.7,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,FL,Florida,32.7,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,GA,Georgia,34.1,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,HI,Hawaii,27.1,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,ID,Idaho,32.8,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,IL,Illinois,29,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,IN,Indiana,36.2,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,IA,Iowa,28.2,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,KS,Kansas,30.6,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,KY,Kentucky,34,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,LA,Louisiana,36.3,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,ME,Maine,32.2,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,MD,Maryland,35.2,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,MA,Massachusetts,31.1,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,MI,Michigan,33.8,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,MN,Minnesota,28.2,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,MS,Mississippi,35.4,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,MO,Missouri,33.8,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,MT,Montana,23.5,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,US,National,32.4,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,NE,Nebraska,28.1,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,NV,Nevada,27.6,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,NH,New Hampshire,28.4,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,NJ,New Jersey,29.4,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,NM,New Mexico,31.9,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,NY,New York,27.5,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,NC,North Carolina,31.9,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,ND,North Dakota,25.1,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,OH,Ohio,34.6,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,OK,Oklahoma,31,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,OR,Oregon,31.4,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,PA,Pennsylvania,30.8,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,RI,Rhode Island,28.7,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,SC,South Carolina,32.7,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,SD,South Dakota,30.7,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,TN,Tennessee,34.1,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,TX,Texas,33.6,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,UT,Utah,31.2,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,VT,Vermont,26.7,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,VA,Virginia,38.1,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,WA,Washington,28.2,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,WV,West Virginia,32.7,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,WI,Wisconsin,40.5,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,WY,Wyoming,28,,,Less than high school,,,,Less than high school,EDU,EDUHS,<HS
2011,2011,AL,Alabama,32.8,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,AK,Alaska,33.1,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,AZ,Arizona,25.2,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,AR,Arkansas,33,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,CA,California,26.4,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,CO,Colorado,23.5,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,CT,Connecticut,29,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,DE,Delaware,27.9,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,DC,DC,33,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,FL,Florida,27.5,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,GA,Georgia,29.5,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,HI,Hawaii,24.9,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
2011,2011,ID,Idaho,28.2,,,High school graduate,,,,High school graduate,EDU,EDUHSGRAD,HSGRAD
