YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Total,Gender,GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,FL,Florida,27.7,,Male,"(28.932040377000476, -81.92896053899966)",Male,GEN,MALE
2011,2011,FL,Florida,25.6,,Female,"(28.932040377000476, -81.92896053899966)",Female,GEN,FEMALE
2012,2012,FL,Florida,26.5,,Male,"(28.932040377000476, -81.92896053899966)",Male,GEN,MALE
2012,2012,FL,Florida,23.9,,Female,"(28.932040377000476, -81.92896053899966)",Female,GEN,FEMALE
2013,2013,FL,Florida,27.5,,Male,"(28.932040377000476, -81.92896053899966)",Male,GEN,MALE
2013,2013,FL,Florida,25.3,,Female,"(28.932040377000476, -81.92896053899966)",Female,GEN,FEMALE
2014,2014,FL,Florida,25.8,,Male,"(28.932040377000476, -81.92896053899966)",Male,GEN,MALE
2014,2014,FL,Florida,26.6,,Female,"(28.932040377000476, -81.92896053899966)",Female,GEN,FEMALE
2015,2015,FL,Florida,27.7,,Male,"(28.932040377000476, -81.92896053899966)",Male,GEN,MALE
2015,2015,FL,Florida,25.9,,Female,"(28.932040377000476, -81.92896053899966)",Female,GEN,FEMALE
2011,2011,GA,Georgia,26.7,,Male,"(32.83968109300048, -83.62758034599966)",Male,GEN,MALE
2011,2011,GA,Georgia,29.3,,Female,"(32.83968109300048, -83.62758034599966)",Female,GEN,FEMALE
2012,2012,GA,Georgia,27.7,,Male,"(32.83968109300048, -83.62758034599966)",Male,GEN,MALE
2012,2012,GA,Georgia,30.5,,Female,"(32.83968109300048, -83.62758034599966)",Female,GEN,FEMALE
2013,2013,GA,Georgia,29.2,,Male,"(32.83968109300048, -83.62758034599966)",Male,GEN,MALE
2013,2013,GA,Georgia,31.5,,Female,"(32.83968109300048, -83.62758034599966)",Female,GEN,FEMALE
2014,2014,GA,Georgia,28.6,,Male,"(32.83968109300048, -83.62758034599966)",Male,GEN,MALE
2014,2014,GA,Georgia,32.4,,Female,"(32.83968109300048, -83.62758034599966)",Female,GEN,FEMALE
2015,2015,GA,Georgia,29.1,,Male,"(32.83968109300048, -83.62758034599966)",Male,GEN,MALE
2015,2015,GA,Georgia,32.3,,Female,"(32.83968109300048, -83.62758034599966)",Female,GEN,FEMALE
2014,2014,GU,Guam,27,,Male,"(13.444304, 144.793731)",Male,GEN,MALE
2014,2014,GU,Guam,29,,Female,"(13.444304, 144.793731)",Female,GEN,FEMALE
2015,2015,GU,Guam,33.4,,Male,"(13.444304, 144.793731)",Male,GEN,MALE
2015,2015,GU,Guam,29.6,,Female,"(13.444304, 144.793731)",Female,GEN,FEMALE
2011,2011,HI,Hawaii,24.4,,Male,"(21.304850435000446, -157.85774940299973)",Male,GEN,MALE
2011,2011,HI,Hawaii,19.2,,Female,"(21.304850435000446, -157.85774940299973)",Female,GEN,FEMALE
2012,2012,HI,Hawaii,26.8,,Male,"(21.304850435000446, -157.85774940299973)",Male,GEN,MALE
2012,2012,HI,Hawaii,20.3,,Female,"(21.304850435000446, -157.85774940299973)",Female,GEN,FEMALE
2013,2013,HI,Hawaii,24.7,,Male,"(21.304850435000446, -157.85774940299973)",Male,GEN,MALE
2013,2013,HI,Hawaii,18.7,,Female,"(21.304850435000446, -157.85774940299973)",Female,GEN,FEMALE
2014,2014,HI,Hawaii,23.1,,Male,"(21.304850435000446, -157.85774940299973)",Male,GEN,MALE
2014,2014,HI,Hawaii,21,,Female,"(21.304850435000446, -157.85774940299973)",Female,GEN,FEMALE
2015,2015,HI,Hawaii,25.5,,Male,"(21.304850435000446, -157.85774940299973)",Male,GEN,MALE
2015,2015,HI,Hawaii,19.7,,Female,"(21.304850435000446, -157.85774940299973)",Female,GEN,FEMALE
2011,2011,ID,Idaho,26.2,,Male,"(43.682630005000476, -114.3637300419997)",Male,GEN,MALE
2011,2011,ID,Idaho,27.9,,Female,"(43.682630005000476, -114.3637300419997)",Female,GEN,FEMALE
2012,2012,ID,Idaho,27.3,,Male,"(43.682630005000476, -114.3637300419997)",Male,GEN,MALE
2012,2012,ID,Idaho,26.2,,Female,"(43.682630005000476, -114.3637300419997)",Female,GEN,FEMALE
2013,2013,ID,Idaho,31.2,,Male,"(43.682630005000476, -114.3637300419997)",Male,GEN,MALE
2013,2013,ID,Idaho,27.9,,Female,"(43.682630005000476, -114.3637300419997)",Female,GEN,FEMALE
2014,2014,ID,Idaho,28.7,,Male,"(43.682630005000476, -114.3637300419997)",Male,GEN,MALE
2014,2014,ID,Idaho,29.2,,Female,"(43.682630005000476, -114.3637300419997)",Female,GEN,FEMALE
2015,2015,ID,Idaho,29.8,,Male,"(43.682630005000476, -114.3637300419997)",Male,GEN,MALE
2015,2015,ID,Idaho,27.3,,Female,"(43.682630005000476, -114.3637300419997)",Female,GEN,FEMALE
2011,2011,IL,Illinois,27.7,,Male,"(40.48501028300046, -88.99771017799969)",Male,GEN,MALE
2011,2011,IL,Illinois,26.5,,Female,"(40.48501028300046, -88.99771017799969)",Female,GEN,FEMALE
2012,2012,IL,Illinois,28.3,,Male,"(40.48501028300046, -88.99771017799969)",Male,GEN,MALE
2012,2012,IL,Illinois,28,,Female,"(40.48501028300046, -88.99771017799969)",Female,GEN,FEMALE
2013,2013,IL,Illinois,28.3,,Male,"(40.48501028300046, -88.99771017799969)",Male,GEN,MALE
2013,2013,IL,Illinois,30.5,,Female,"(40.48501028300046, -88.99771017799969)",Female,GEN,FEMALE
2014,2014,IL,Illinois,27.9,,Male,"(40.48501028300046, -88.99771017799969)",Male,GEN,MALE
2014,2014,IL,Illinois,30.7,,Female,"(40.48501028300046, -88.99771017799969)",Female,GEN,FEMALE
2015,2015,IL,Illinois,29.7,,Male,"(40.48501028300046, -88.99771017799969)",Male,GEN,MALE
2015,2015,IL,Illinois,31.9,,Female,"(40.48501028300046, -88.99771017799969)",Female,GEN,FEMALE
2011,2011,IN,Indiana,30.9,,Male,"(39.766910452000445, -86.14996019399968)",Male,GEN,MALE
2011,2011,IN,Indiana,30.8,,Female,"(39.766910452000445, -86.14996019399968)",Female,GEN,FEMALE
2012,2012,IN,Indiana,31.8,,Male,"(39.766910452000445, -86.14996019399968)",Male,GEN,MALE
2012,2012,IN,Indiana,30.9,,Female,"(39.766910452000445, -86.14996019399968)",Female,GEN,FEMALE
2013,2013,IN,Indiana,31.1,,Male,"(39.766910452000445, -86.14996019399968)",Male,GEN,MALE
2013,2013,IN,Indiana,32.6,,Female,"(39.766910452000445, -86.14996019399968)",Female,GEN,FEMALE
2014,2014,IN,Indiana,32.5,,Male,"(39.766910452000445, -86.14996019399968)",Male,GEN,MALE
2014,2014,IN,Indiana,33,,Female,"(39.766910452000445, -86.14996019399968)",Female,GEN,FEMALE
2015,2015,IN,Indiana,31.9,,Male,"(39.766910452000445, -86.14996019399968)",Male,GEN,MALE
2015,2015,IN,Indiana,30.7,,Female,"(39.766910452000445, -86.14996019399968)",Female,GEN,FEMALE
2011,2011,IA,Iowa,30.4,,Male,"(42.46940091300047, -93.81649055599968)",Male,GEN,MALE
2011,2011,IA,Iowa,27.4,,Female,"(42.46940091300047, -93.81649055599968)",Female,GEN,FEMALE
2012,2012,IA,Iowa,31.5,,Male,"(42.46940091300047, -93.81649055599968)",Male,GEN,MALE
2012,2012,IA,Iowa,29.3,,Female,"(42.46940091300047, -93.81649055599968)",Female,GEN,FEMALE
2013,2013,IA,Iowa,32.4,,Male,"(42.46940091300047, -93.81649055599968)",Male,GEN,MALE
2013,2013,IA,Iowa,30.1,,Female,"(42.46940091300047, -93.81649055599968)",Female,GEN,FEMALE
2014,2014,IA,Iowa,32,,Male,"(42.46940091300047, -93.81649055599968)",Male,GEN,MALE
2014,2014,IA,Iowa,29.8,,Female,"(42.46940091300047, -93.81649055599968)",Female,GEN,FEMALE
2015,2015,IA,Iowa,34.8,,Male,"(42.46940091300047, -93.81649055599968)",Male,GEN,MALE
2015,2015,IA,Iowa,29.3,,Female,"(42.46940091300047, -93.81649055599968)",Female,GEN,FEMALE
2011,2011,KS,Kansas,30,,Male,"(38.34774030000045, -98.20078122699965)",Male,GEN,MALE
