YearStart,YearEnd,LocationAbbr,LocationDesc,Data_Value,Age(years),GeoLocation,Stratification1,StratificationCategoryId1,StratificationID1
2011,2011,AR,Arkansas,26.1,65 or older,"(34.74865012400045, -92.27449074299966)",65 or older,AGEYR,AGEYR65PLUS
2012,2012,AR,Arkansas,37.2,55 - 64,"(34.74865012400045, -92.27449074299966)",55 - 64,AGEYR,AGEYR5564
2012,2012,AR,Arkansas,27.1,18 - 24,"(34.74865012400045, -92.27449074299966)",18 - 24,AGEYR,AGEYR1824
2012,2012,AR,Arkansas,33.7,25 - 34,"(34.74865012400045, -92.27449074299966)",25 - 34,AGEYR,AGEYR2534
2012,2012,AR,Arkansas,43.4,35 - 44,"(34.74865012400045, -92.27449074299966)",35 - 44,AGEYR,AGEYR3544
2012,2012,AR,Arkansas,40.4,45 - 54,"(34.74865012400045, -92.27449074299966)",45 - 54,AGEYR,AGEYR4554
2012,2012,AR,Arkansas,25.9,65 or older,"(34.74865012400045, -92.27449074299966)",65 or older,AGEYR,AGEYR65PLUS
2013,2013,AR,Arkansas,29.6,18 - 24,"(34.74865012400045, -92.27449074299966)",18 - 24,AGEYR,AGEYR1824
2013,2013,AR,Arkansas,34.2,25 - 34,"(34.74865012400045, -92.27449074299966)",25 - 34,AGEYR,AGEYR2534
2013,2013,AR,Arkansas,42.1,35 - 44,"(34.74865012400045, -92.27449074299966)",35 - 44,AGEYR,AGEYR3544
2013,2013,AR,Arkansas,37.9,45 - 54,"(34.74865012400045, -92.27449074299966)",45 - 54,AGEYR,AGEYR4554
2013,2013,AR,Arkansas,38.5,55 - 64,"(34.74865012400045, -92.27449074299966)",55 - 64,AGEYR,AGEYR5564
2013,2013,AR,Arkansas,26.4,65 or older,"(34.74865012400045, -92.27449074299966)",65 or older,AGEYR,AGEYR65PLUS
2014,2014,AR,Arkansas,23.9,18 - 24,"(34.74865012400045, -92.27449074299966)",18 - 24,AGEYR,AGEYR1824
2014,2014,AR,Arkansas,39.6,25 - 34,"(34.74865012400045, -92.27449074299966)",25 - 34,AGEYR,AGEYR2534
2014,2014,AR,Arkansas,38,35 - 44,"(34.74865012400045, -92.27449074299966)",35 - 44,AGEYR,AGEYR3544
2014,2014,AR,Arkansas,43.9,45 - 54,"(34.74865012400045, -92.27449074299966)",45 - 54,AGEYR,AGEYR4554
2014,2014,AR,Arkansas,39.3,55 - 64,"(34.74865012400045, -92.27449074299966)",55 - 64,AGEYR,AGEYR5564
2014,2014,AR,Arkansas,29.2,65 or older,"(34.74865012400045, -92.27449074299966)",65 or older,AGEYR,AGEYR65PLUS
2015,2015,AR,Arkansas,42.2,45 - 54,"(34.74865012400045, -92.27449074299966)",45 - 54,AGEYR,AGEYR4554
2015,2015,AR,Arkansas,39.9,35 - 44,"(34.74865012400045, -92.27449074299966)",35 - 44,AGEYR,AGEYR3544
2015,2015,AR,Arkansas,20.7,18 - 24,"(34.74865012400045, -92.27449074299966)",18 - 24,AGEYR,AGEYR1824
2015,2015,AR,Arkansas,29.8,65 or older,"(34.74865012400045, -92.27449074299966)",65 or older,AGEYR,AGEYR65PLUS
2015,2015,AR,Arkansas,33.7,25 - 34,"(34.74865012400045, -92.27449074299966)",25 - 34,AGEYR,AGEYR2534
2015,2015,AR,Arkansas,38.8,55 - 64,"(34.74865012400045, -92.27449074299966)",55 - 64,AGEYR,AGEYR5564
2011,2011,CA,California,27.6,55 - 64,"(37.63864012300047, -120.99999953799971)",55 - 64,AGEYR,AGEYR5564
2011,2011,CA,California,14.5,18 - 24,"(37.63864012300047, -120.99999953799971)",18 - 24,AGEYR,AGEYR1824
2011,2011,CA,California,23.7,25 - 34,"(37.63864012300047, -120.99999953799971)",25 - 34,AGEYR,AGEYR2534
2011,2011,CA,California,25.9,35 - 44,"(37.63864012300047, -120.99999953799971)",35 - 44,AGEYR,AGEYR3544
2011,2011,CA,California,27.6,45 - 54,"(37.63864012300047, -120.99999953799971)",45 - 54,AGEYR,AGEYR4554
